option,category,deploys to web,language,compatibity with maplibre,ui frameworks,comments
flutter,multi-platform framework,TRUE,dart,medium,,"although it works with javascript, the integration is not straightforward"
kotlin multi platform,multi-platform framework,TRUE,kotlin,medium,,"although it works with javascript, the integration is not straightforward"
streamlit,data app,TRUE,python,low,,
tauri,multi-platform framework,FALSE,rust,high,,meant for desktop and mobile
observable,data app,,,,,
shiny,data app,,,,,
dash,data app,,,,,
panel,data app,,,,,
voila,,,,,,
gradio,,,,,,
evidence,,,,,,
taipy,,,,,,
reflex,,,,,,
yew,,,,,,
quarto,,,,,,
powerbi,,,,,,
kepler,,,,,,
grafana,,,,,,
unity,,,,,,
unreal,,,,,,
godot,,,,,,
metabase,,,,,,
apache superset,,,,,,
